State,Female LFPR (%)
Andhra Pradesh,37.5
Arunachal Pradesh,41.2
Assam,23.1
Bihar,6.9
Chhattisgarh,38.7
Goa,24.5
Gujarat,24.8
Haryana,19.1
Himachal Pradesh,44.2
Jharkhand,19.7
Karnataka,32.1
Kerala,24.7
Madhya Pradesh,28.5
Maharashtra,32.8
Manipur,38.9
Meghalaya,46.2
Mizoram,41.5
Nagaland,28.3
Odisha,32.6
Punjab,18.2
Rajasthan,24.3
Sikkim,36.7
Tamil Nadu,32.4
Telangana,32.9
Tripura,28.1
Uttar Pradesh,9.4
Uttarakhand,24.2
West Bengal,18.7
